#mpiTasks=1 mpiRank=0, n=100000000, range=100000000, StartLocal=0, HostLocal=wn20
#ID 0 terminated - piLocal = 3.1415926936  0.121189
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415926936 4.0000423418e-08 0.1212  1 # wn20 
#mpiTasks=32 mpiRank=3, n=3200000000, range=100000000, StartLocal=300000000, HostLocal=wn20
#mpiTasks=32 mpiRank=8, n=3200000000, range=100000000, StartLocal=800000000, HostLocal=wn20
#mpiTasks=32 mpiRank=9, n=3200000000, range=100000000, StartLocal=900000000, HostLocal=wn20
#mpiTasks=32 mpiRank=11, n=3200000000, range=100000000, StartLocal=1100000000, HostLocal=wn20
#mpiTasks=32 mpiRank=12, n=3200000000, range=100000000, StartLocal=1200000000, HostLocal=wn20
#mpiTasks=32 mpiRank=16, n=3200000000, range=100000000, StartLocal=1600000000, HostLocal=wn20
#mpiTasks=32 mpiRank=19, n=3200000000, range=100000000, StartLocal=1900000000, HostLocal=wn20
#mpiTasks=32 mpiRank=0, n=3200000000, range=100000000, StartLocal=0, HostLocal=wn20
#mpiTasks=32 mpiRank=2, n=3200000000, range=100000000, StartLocal=200000000, HostLocal=wn20
#mpiTasks=32 mpiRank=4, n=3200000000, range=100000000, StartLocal=400000000, HostLocal=wn20
#mpiTasks=32 mpiRank=5, n=3200000000, range=100000000, StartLocal=500000000, HostLocal=wn20
#mpiTasks=32 mpiRank=6, n=3200000000, range=100000000, StartLocal=600000000, HostLocal=wn20
#mpiTasks=32 mpiRank=7, n=3200000000, range=100000000, StartLocal=700000000, HostLocal=wn20
#mpiTasks=32 mpiRank=17, n=3200000000, range=100000000, StartLocal=1700000000, HostLocal=wn20
#mpiTasks=32 mpiRank=18, n=3200000000, range=100000000, StartLocal=1800000000, HostLocal=wn20
#mpiTasks=32 mpiRank=20, n=3200000000, range=100000000, StartLocal=2000000000, HostLocal=wn20
#mpiTasks=32 mpiRank=21, n=3200000000, range=100000000, StartLocal=2100000000, HostLocal=wn20
#mpiTasks=32 mpiRank=22, n=3200000000, range=100000000, StartLocal=2200000000, HostLocal=wn20
#mpiTasks=32 mpiRank=23, n=3200000000, range=100000000, StartLocal=2300000000, HostLocal=wn20
#mpiTasks=32 mpiRank=24, n=3200000000, range=100000000, StartLocal=2400000000, HostLocal=wn20
#mpiTasks=32 mpiRank=25, n=3200000000, range=100000000, StartLocal=2500000000, HostLocal=wn20
#mpiTasks=32 mpiRank=26, n=3200000000, range=100000000, StartLocal=2600000000, HostLocal=wn20
#mpiTasks=32 mpiRank=31, n=3200000000, range=100000000, StartLocal=3100000000, HostLocal=wn20
#mpiTasks=32 mpiRank=13, n=3200000000, range=100000000, StartLocal=1300000000, HostLocal=wn20
#ID 30 terminated - piLocal = 0.0655007984  0.132107
#ID 27 terminated - piLocal = 0.0719023677  0.132232
#ID 28 terminated - piLocal = 0.0697097181  0.132225
#ID 10 terminated - piLocal = 0.1128448345  0.132212
#ID 15 terminated - piLocal = 0.1012441976  0.132241
#ID 12 terminated - piLocal = 0.1084479976  0.132183
#ID 14 terminated - piLocal = 0.1037044741  0.132213
#ID 16 terminated - piLocal = 0.0987453692  0.132177
#ID 11 terminated - piLocal = 0.1106983754  0.132193
#ID 29 terminated - piLocal = 0.0675754086  0.132384
#ID 31 terminated - piLocal = 0.0634867326  0.132017
#ID 1 terminated - piLocal = 0.1247159075  0.132267
#ID 8 terminated - piLocal = 0.1167551531  0.132234
#ID 9 terminated - piLocal = 0.1148696702  0.132260
#ID 17 terminated - piLocal = 0.0962220380  0.132184
#ID 2 terminated - piLocal = 0.1242318859  0.132329
#ID 3 terminated - piLocal = 0.1235128548  0.132351
#ID 4 terminated - piLocal = 0.1225669907  0.132340
#ID 5 terminated - piLocal = 0.1214048335  0.132305
#ID 6 terminated - piLocal = 0.1200390000  0.132277
#ID 19 terminated - piLocal = 0.0911523105  0.132330
#ID 26 terminated - piLocal = 0.0741514128  0.132230
#ID 0 terminated - piLocal = 0.1249593350  0.132335
#ID 7 terminated - piLocal = 0.1184838549  0.132392
#ID 13 terminated - piLocal = 0.1061110899  0.132223
#ID 18 terminated - piLocal = 0.0936871115  0.132328
#ID 22 terminated - piLocal = 0.0836479360  0.132298
#ID 23 terminated - piLocal = 0.0812071163  0.132423
#ID 20 terminated - piLocal = 0.0886281538  0.132462
#ID 21 terminated - piLocal = 0.0861239711  0.132466
#ID 24 terminated - piLocal = 0.0788075365  0.132438
#ID 25 terminated - piLocal = 0.0764542495  0.132479
#Funct  Inter  pi    error   time numtasks  hostname 
1 3200000000  3.1415926853 3.1726792304e-08 0.1323  32 # wn20 
