Thread,Nx,Ny,iter,T,Tp,Tnp
1,2048, 2048, 1000, 3.011, 2.981, 0.030 
2,2048, 2048, 1000, 1.570, 1.526, 0.044 
4,2048, 2048, 1000, 0.758, 0.683, 0.075 
8,2048, 2048, 1000, 0.418, 0.369, 0.050 
