Thread,Nx,Ny,iter,T,Tp,Tnp
1,2048, 2048, 1000, 3.587, 3.557, 0.031 
2,2048, 2048, 1000, 1.900, 1.855, 0.045 
4,2048, 2048, 1000, 0.936, 0.890, 0.046 
8,2048, 2048, 1000, 0.513, 0.467, 0.046 
