function,iter,pi,error,time,hostname
1, 530000,  3.1415926536, 3.2551739082e-13, 0.00536,  wn20 
2, 530000,  3.1415926545, 8.9274543313e-10, 0.00597,  wn20 
1, 540000,  3.1415926536, 2.8510527272e-13, 0.00545,  wn20 
2, 540000,  3.1415926545, 8.6784890385e-10, 0.00603,  wn20 
1, 550000,  3.1415926536, 1.9895196601e-13, 0.00553,  wn20 
2, 550000,  3.1415926544, 8.4435569647e-10, 0.00623,  wn20 
1, 560000,  3.1415926536, 2.5446311724e-13, 0.00564,  wn20 
2, 560000,  3.1415926544, 8.2197315621e-10, 0.00631,  wn20 
1, 570000,  3.1415926536, 2.0428103653e-13, 0.00570,  wn20 
2, 570000,  3.1415926544, 8.0043482953e-10, 0.00644,  wn20 
1, 580000,  3.1415926536, 3.1841196346e-13, 0.00584,  wn20 
2, 580000,  3.1415926544, 7.7973227874e-10, 0.00657,  wn20 
1, 590000,  3.1415926536, 2.9576341376e-13, 0.00586,  wn20 
2, 590000,  3.1415926543, 7.6003114913e-10, 0.00681,  wn20 
1, 600000,  3.1415926536, 2.1493917757e-13, 0.00594,  wn20 
2, 600000,  3.1415926543, 7.4114492321e-10, 0.00686,  wn20 
1, 610000,  3.1415926536, 2.2915003228e-13, 0.00615,  wn20 
2, 610000,  3.1415926543, 7.2299632947e-10, 0.00696,  wn20 
1, 620000,  3.1415926536, 2.1405099915e-13, 0.00629,  wn20 
2, 620000,  3.1415926543, 7.0563022092e-10, 0.00705,  wn20 
1, 630000,  3.1415926536, 2.3314683517e-13, 0.00638,  wn20 
2, 630000,  3.1415926543, 6.8883077020e-10, 0.00720,  wn20 
1, 640000,  3.1415926536, 1.5232259898e-13, 0.00652,  wn20 
2, 640000,  3.1415926543, 6.7270944371e-10, 0.00735,  wn20 
1, 650000,  3.1415926536, 1.9939605522e-13, 0.00659,  wn20 
2, 650000,  3.1415926542, 6.5725691556e-10, 0.00740,  wn20 
1, 660000,  3.1415926536, 3.5305092183e-13, 0.00670,  wn20 
2, 660000,  3.1415926542, 6.4231509000e-10, 0.00754,  wn20 
1, 670000,  3.1415926536, 2.6600943670e-13, 0.00679,  wn20 
2, 670000,  3.1415926542, 6.2810334711e-10, 0.00766,  wn20 
1, 680000,  3.1415926536, 5.7731597281e-14, 0.00684,  wn20 
2, 680000,  3.1415926542, 6.1429750176e-10, 0.00774,  wn20 
1, 690000,  3.1415926536, 2.4558133305e-13, 0.00697,  wn20 
2, 690000,  3.1415926542, 6.0101257304e-10, 0.00785,  wn20 
1, 700000,  3.1415926536, 7.8159700934e-14, 0.00707,  wn20 
2, 700000,  3.1415926542, 5.8801274960e-10, 0.00799,  wn20 
1, 710000,  3.1415926536, 2.0161650127e-13, 0.00717,  wn20 
2, 710000,  3.1415926542, 5.7562843381e-10, 0.00809,  wn20 
1, 720000,  3.1415926536, 1.7585932710e-13, 0.00724,  wn20 
2, 720000,  3.1415926542, 5.6382765123e-10, 0.00823,  wn20 
1, 730000,  3.1415926536, 1.9628743075e-13, 0.00738,  wn20 
2, 730000,  3.1415926541, 5.5214011141e-10, 0.00829,  wn20 
1, 740000,  3.1415926536, 2.6645352591e-15, 0.00740,  wn20 
2, 740000,  3.1415926541, 5.4118531878e-10, 0.00841,  wn20 
1, 750000,  3.1415926536, 1.6164847239e-13, 0.00760,  wn20 
2, 750000,  3.1415926541, 5.3026072422e-10, 0.00859,  wn20 
1, 760000,  3.1415926536, 2.5623947408e-13, 0.00768,  wn20 
2, 760000,  3.1415926541, 5.1981663418e-10, 0.00871,  wn20 
1, 770000,  3.1415926536, 1.9095836024e-14, 0.00779,  wn20 
2, 770000,  3.1415926541, 5.0979709343e-10, 0.00878,  wn20 
1, 780000,  3.1415926536, 1.5543122345e-13, 0.00788,  wn20 
2, 780000,  3.1415926541, 5.0000004137e-10, 0.00888,  wn20 
1, 790000,  3.1415926536, 1.5365486661e-13, 0.00800,  wn20 
2, 790000,  3.1415926541, 4.9048676232e-10, 0.00904,  wn20 
1, 800000,  3.1415926536, 1.0658141036e-13, 0.00797,  wn20 
2, 800000,  3.1415926541, 4.8143311560e-10, 0.00911,  wn20 
1, 810000,  3.1415926536, 1.1457501614e-13, 0.00820,  wn20 
2, 810000,  3.1415926541, 4.7243320367e-10, 0.00921,  wn20 
1, 820000,  3.1415926536, 6.0840221749e-14, 0.00828,  wn20 
2, 820000,  3.1415926541, 4.6386761099e-10, 0.00925,  wn20 
1, 830000,  3.1415926536, 1.2656542481e-13, 0.00839,  wn20 
2, 830000,  3.1415926540, 4.5548986805e-10, 0.00947,  wn20 
1, 840000,  3.1415926536, 1.0746958878e-13, 0.00853,  wn20 
2, 840000,  3.1415926540, 4.4743764249e-10, 0.00949,  wn20 
1, 850000,  3.1415926536, 1.8696155735e-13, 0.00859,  wn20 
2, 850000,  3.1415926540, 4.3946535300e-10, 0.00970,  wn20 
1, 860000,  3.1415926536, 1.9095836024e-14, 0.00863,  wn20 
2, 860000,  3.1415926540, 4.3182923903e-10, 0.00977,  wn20 
1, 870000,  3.1415926536, 2.0872192863e-14, 0.00879,  wn20 
2, 870000,  3.1415926540, 4.2447290127e-10, 0.01001,  wn20 
1, 880000,  3.1415926536, 2.0561330416e-13, 0.00889,  wn20 
2, 880000,  3.1415926540, 4.1728842604e-10, 0.00997,  wn20 
1, 890000,  3.1415926536, 1.0969003483e-13, 0.00903,  wn20 
2, 890000,  3.1415926540, 4.1035219667e-10, 0.01015,  wn20 
1, 900000,  3.1415926536, 2.0872192863e-13, 0.00911,  wn20 
2, 900000,  3.1415926540, 4.0338399288e-10, 0.01030,  wn20 
