128,0.076768,0.000062,3.141654
256,0.064224,0.000029,3.141622
512,0.061408,0.000015,3.141608
1024,0.066400,0.000005,3.141598
2048,0.080640,0.000003,3.141596
4096,0.108192,0.000003,3.141595
