function,iter,pi,error,t_np,t_p,hostname
2, 1000000,  3.1415926539, 3.1415926536e+00, 0.00003,  0.01811, wn23 
2, 1100000,  3.1415926539, 3.1415926536e+00, 0.00001,  0.01204, wn23 
2, 1200000,  3.1415926539, 3.1415926536e+00, 0.00001,  0.01313, wn23 
2, 1300000,  3.1415926538, 3.1415926536e+00, 0.00001,  0.01420, wn23 
2, 1400000,  3.1415926538, 3.1415926536e+00, 0.00001,  0.01868, wn23 
2, 1500000,  3.1415926538, 3.1415926536e+00, 0.00001,  0.01639, wn23 
2, 1600000,  3.1415926538, 3.1415926536e+00, 0.00001,  0.01748, wn23 
2, 1700000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.01863, wn23 
2, 1800000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.01972, wn23 
2, 1900000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02072, wn23 
2, 2000000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02182, wn23 
2, 2100000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02289, wn23 
2, 2200000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02398, wn23 
2, 2300000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.02527, wn23 
2, 2400000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02645, wn23 
2, 2500000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02725, wn23 
2, 2600000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02895, wn23 
2, 2700000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.02945, wn23 
2, 2800000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.03053, wn23 
2, 2900000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.03178, wn23 
2, 3000000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.03280, wn23 
2, 3100000,  3.1415926537, 3.1415926536e+00, 0.00001,  0.03380, wn23 
2, 3200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03507, wn23 
2, 3300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03600, wn23 
