function,iter,pi,error,t_np,t_p,hostname
2, 3400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03708, wn23 
2, 3500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03817, wn23 
2, 3600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03932, wn23 
2, 3700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04051, wn23 
2, 3800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04157, wn23 
2, 3900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04256, wn23 
2, 4000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04370, wn23 
2, 4100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04478, wn23 
2, 4200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04667, wn23 
2, 4300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04703, wn23 
2, 4400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04805, wn23 
2, 4500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04907, wn23 
2, 4600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05022, wn23 
2, 4700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05124, wn23 
2, 4800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05239, wn23 
2, 4900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05340, wn23 
2, 5000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05449, wn23 
2, 5100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05558, wn23 
2, 5200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05667, wn23 
2, 5300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05779, wn23 
2, 5400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05894, wn23 
2, 5500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06075, wn23 
2, 5600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06191, wn23 
2, 5700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06213, wn23 
2, 5800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06325, wn23 
2, 5900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06432, wn23 
2, 6000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06556, wn23 
2, 6100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06649, wn23 
2, 6200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06762, wn23 
2, 6300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06887, wn23 
2, 6400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06984, wn23 
2, 6500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07095, wn23 
2, 6600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07196, wn23 
2, 6700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07314, wn23 
2, 6800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07689, wn23 
2, 6900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07536, wn23 
2, 7000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07670, wn23 
2, 7100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07749, wn23 
2, 7200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07876, wn23 
2, 7300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07957, wn23 
2, 7400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08067, wn23 
2, 7500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08174, wn23 
2, 7600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08300, wn23 
2, 7700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08403, wn23 
2, 7800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08519, wn23 
2, 7900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08721, wn23 
2, 8000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08731, wn23 
2, 8100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08832, wn23 
2, 8200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08970, wn23 
2, 8300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09053, wn23 
2, 8400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09248, wn23 
2, 8500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09278, wn23 
2, 8600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09395, wn23 
2, 8700000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.09514, wn23 
2, 8800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09648, wn23 
2, 8900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09775, wn23 
2, 9000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09810, wn23 
