function,iter,pi,error,t_np,t_p,hostname
1, 6900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08029, ui01.hpc.unipr.it 
1, 7000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08163, ui01.hpc.unipr.it 
1, 7100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08433, ui01.hpc.unipr.it 
1, 7200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08638, ui01.hpc.unipr.it 
1, 7300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08638, ui01.hpc.unipr.it 
1, 7400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08894, ui01.hpc.unipr.it 
1, 7500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08741, ui01.hpc.unipr.it 
1, 7600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08747, ui01.hpc.unipr.it 
1, 7700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08909, ui01.hpc.unipr.it 
1, 7800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09281, ui01.hpc.unipr.it 
1, 7900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.11753, ui01.hpc.unipr.it 
1, 8000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09280, ui01.hpc.unipr.it 
1, 8100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.09502, ui01.hpc.unipr.it 
1, 8200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09763, ui01.hpc.unipr.it 
1, 8300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09973, ui01.hpc.unipr.it 
1, 8400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09855, ui01.hpc.unipr.it 
1, 8500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.10332, ui01.hpc.unipr.it 
1, 8600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.10119, ui01.hpc.unipr.it 
1, 8700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.10055, ui01.hpc.unipr.it 
1, 8800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.10126, ui01.hpc.unipr.it 
1, 8900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.13981, ui01.hpc.unipr.it 
1, 9000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.10390, ui01.hpc.unipr.it 
